country,year,co2_emissions,greenhouse_gas_emissions,cereal_yield,population_growth,GDP,fresh_water,urban_population,renewable_electricity,total_population,renewable_energy_consumption
Algeria,1990,2.466365604238,,,,,,,,,
Lesotho,2020,1.02564216316934,,,,,,,,,
Lesotho,2019,1.03342675704115,,,,,,,,,
Lesotho,2018,1.03575177080068,,,,,,,,,
Lesotho,2017,1.10673601100517,,,,,,,,,
Lesotho,2016,0.991756970565407,,,,,,,,,
Lesotho,2015,1.01212119209581,,,,,,,,,
Lesotho,2014,1.12111154701939,,,,,,,,,
Lesotho,2013,1.06391750191303,,,,,,,,,
Lesotho,2012,1.42092491524384,,,,,,,,,
Lesotho,2011,1.41592607660586,,,,,,,,,
Lesotho,2010,1.0672615013148,,,,,,,,,
Lesotho,2009,1.0460543637693,,,,,,,,,
Lesotho,2008,1.00620847773499,,,,,,,,,
Lesotho,2007,0.987816775188874,,,,,,,,,
Lesotho,2006,0.972794139964994,,,,,,,,,
Lesotho,2005,0.96160459264174,,,,,,,,,
Lesotho,2004,0.942840276742434,,,,,,,,,
Lesotho,2003,0.915741358634842,,,,,,,,,
Lesotho,2002,0.901511563758114,,,,,,,,,
Lesotho,2001,0.885633364391517,,,,,,,,,
Lesotho,2000,0.874348929016376,,,,,,,,,
Lesotho,1999,0.864989873350439,,,,,,,,,
Lesotho,1998,0.858967818420166,,,,,,,,,
Lesotho,1997,0.848990078470875,,,,,,,,,
Lesotho,1996,0.840929712986254,,,,,,,,,
Lesotho,1995,0.834867655354306,,,,,,,,,
Lesotho,1994,0.829093048305229,,,,,,,,,
Lesotho,1993,0.818996562144984,,,,,,,,,
Lesotho,1992,0.808713661019302,,,,,,,,,
Lesotho,1991,0.791305208118681,,,,,,,,,
Lesotho,1990,0.775710020639279,,,,,,,,,
Lithuania,2020,4.18400041504391,,,,,,,,,
Lithuania,2019,4.20015196105273,,,,,,,,,
Lithuania,2018,4.15931506316341,,,,,,,,,
Lithuania,2017,3.96768070179532,,,,,,,,,
Lithuania,2016,3.90592668442674,,,,,,,,,
Lithuania,2015,3.80989428243904,,,,,,,,,
Lithuania,2014,3.70448173779067,,,,,,,,,
Lithuania,2013,3.83106540275195,,,,,,,,,
Lithuania,2012,3.99153483213082,,,,,,,,,
Lithuania,2011,3.91187256758743,,,,,,,,,
Lithuania,2010,4.06905151032421,,,,,,,,,
Lithuania,2009,3.69662046036,,,,,,,,,
Lithuania,2008,4.08550852017881,,,,,,,,,
Lithuania,2007,4.08802170276057,,,,,,,,,
Lithuania,2006,3.9816704379235,,,,,,,,,
Lithuania,2005,3.86127671459804,,,,,,,,,
Lithuania,2004,3.52820118001525,,,,,,,,,
Lithuania,2003,3.28901886939409,,,,,,,,,
Lithuania,2002,3.25965193241956,,,,,,,,,
Lithuania,2001,3.21408382692495,,,,,,,,,
Lithuania,2000,3.00494122649403,,,,,,,,,
